EstacaoCodigo,Data,Cota,Vazao
17050001,1973-03-30,544.0,171379.0
17050001,1973-02-25,448.0,154770.0
17050001,1972-12-09,231.0,113219.0
17050001,1972-10-14,349.0,143061.0
17050001,1972-09-13,556.0,219423.0
17050001,1972-09-09,628.0,208468.0
17050001,1972-06-06,730.0,235851.0
17050001,1972-06-05,731.0,228269.0
17050001,1972-04-27,554.0,157205.0
17050001,1971-12-14,310.0,131710.0
17050001,1971-10-26,297.0,115462.0
17050001,1971-08-14,661.0,196683.0
17050001,1971-06-20,752.0,236066.0
17050001,1971-05-01,725.0,224351.0
17050001,1971-04-22,701.0,223380.0
17050001,1971-01-16,316.0,128274.0
17050001,1969-11-22,199.0,84740.0
17050001,1968-02-06,299.0,123434.0
17050001,1967-05-24,698.0,227075.0
